list-none-none,1,10,1,30,149643,4988
list-none-none,1,100,1,300,152942,509
list-none-none,1,1000,1,3000,2740754,913
list-none-none,1,10000,1,30000,225282487,7509
list-none-none,1,20000,1,60000,908402292,15140
list-none-none,2,1,1,6,204857,34142
list-none-none,8,10,1,240,472958,1970
list-none-none,12,1,1,36,2026987,56305
list-d-none,2,1,1,6,188270,31378
list-d-none,2,2,1,12,197939,16494
list-d-none,2,4,1,24,197478,8228
list-d-none,2,8,1,48,198640,4138
list-d-none,4,2,1,24,257461,10727
list-d-none,4,4,1,48,245736,5119
list-d-none,4,8,1,96,255722,2663
list-d-none,4,16,1,192,611788,3186
list-d-none,8,1,1,24,440979,18374
list-d-none,8,8,1,192,1340052,6979
list-d-none,12,1,1,36,1391186,38644
list-d-none,12,2,1,72,1341485,18631
list-i-none,2,2,1,12,200884,16740
list-i-none,2,8,1,48,208492,4343
list-i-none,4,1,1,12,301109,25092
list-i-none,8,16,1,384,921219,2399
list-il-none,2,1,1,6,178478,29746
list-il-none,2,4,1,24,178586,7441
list-il-none,2,8,1,48,167449,3488
list-il-none,4,1,1,12,276820,23068
list-il-none,4,2,1,24,570951,23789
list-il-none,8,2,1,48,777270,16193
list-dl-none,2,1,1,6,223285,37214
list-dl-none,2,4,1,24,223212,9300
list-dl-none,2,8,1,48,215334,4486
list-dl-none,2,16,1,96,274512,2859
list-dl-none,2,32,1,192,374789,1952
list-dl-none,4,1,1,12,259533,21627
list-dl-none,4,4,1,48,270637,5638
list-dl-none,4,16,1,192,345888,1801
list-dl-none,12,2,1,72,904668,12564
list-dl-none,12,4,1,144,982897,6825
list-none-m,1,1000,1,3000,2670782,890
list-none-m,2,1000,1,6000,5127263,854
list-none-m,4,1000,1,12000,10078536,839
list-none-m,8,1000,1,24000,20212083,842
list-none-m,12,1000,1,36000,30217552,839
list-none-m,16,1000,1,48000,40649923,846
list-none-m,24,1000,1,72000,60312346,837
list-none-s,1,1000,1,3000,2672407,890
list-none-s,2,1000,1,6000,5383237,897
list-none-s,4,1000,1,12000,11881059,990
list-none-s,8,1000,1,24000,26128656,1088
list-none-s,12,1000,1,36000,40017227,1111
list-none-s,16,1000,1,48000,63077125,1314
list-none-s,24,1000,1,72000,112162230,1557
list-i-m,12,32,1,1152,1441478,1251
list-d-m,12,32,1,1152,1199857,1041
list-dl-m,12,32,1,1152,1706156,1481
list-il-m,12,32,1,1152,1761184,1528
list-i-m,12,16,1,576,1352389,2347
list-d-m,12,16,1,576,1136917,1973
list-dl-m,12,16,1,576,1231327,2137
list-il-m,12,16,1,576,1033934,1795
list-i-m,4,32,1,384,357625,931
list-d-m,4,32,1,384,341755,889
list-dl-m,4,32,1,384,631576,1644
list-il-m,4,32,1,384,620401,1615
list-i-m,4,16,1,192,296761,1545
list-d-m,4,16,1,192,288604,1503
list-dl-m,4,16,1,192,387796,2019
list-il-m,4,16,1,192,426095,2219
list-i-s,12,32,1,1152,1018909,884
list-d-s,12,32,1,1152,1409191,1223
list-dl-s,12,32,1,1152,2201274,1910
list-il-s,12,32,1,1152,2579473,2239
list-i-s,12,16,1,576,1306098,2267
list-d-s,12,16,1,576,1435930,2492
list-dl-s,12,16,1,576,3046513,5289
list-il-s,12,16,1,576,1600869,2779
list-i-s,4,32,1,384,380625,991
list-d-s,4,32,1,384,374976,976
list-dl-s,4,32,1,384,650694,1694
list-il-s,4,32,1,384,640029,1666
list-i-s,4,16,1,192,249720,1300
list-d-s,4,16,1,192,274844,1431
list-dl-s,4,16,1,192,363121,1891
list-il-s,4,16,1,192,391715,2040
